college_name,state,percent_female,percent_stem,div1_fball,school_sector,undergraduate_enrollment,mid_career_median_pay,rank,col_index,gam_residual
Wheeling Jesuit University,West Virginia,43,10,0,1,1168,77300,520,96.8,-3284.395319142146
California State University-Los Angeles,California,47,19,0,0,24156,87300,521,141,-2864.1283820497774
Minnesota State University-Mankato,Minnesota,41,12,0,0,15299,85400,522,100.2,51.261239874744206
Florida Gulf Coast University,Florida,43,12,0,0,15223,70600,523,98.9,-13657.048615605396
CUNY Lehman College,New York,56,7,0,0,14558,73700,525,133.9,-11010.357669103367
University of Nevada-Las Vegas,Nevada,44,12,1,0,25566,87200,526,110.3,946.1039162142406
Meredith College,North Carolina,87,11,0,1,1815,67700,527,93.9,-830.1630341228738
University of Louisiana at Lafayette,Louisiana,46,19,1,0,17975,89100,529,93.4,6432.283601094619
Georgia State University,Georgia,47,17,1,0,29438,86700,530,90.8,5168.576477798968
Old Dominion University,Virginia,42,20,1,0,22680,85900,531,102.1,-283.49253595531627
Lycoming College,Pennsylvania,40,21,0,1,1394,88900,532,101.2,4509.594099630311
Montana Tech of the University of Montana,Montana,18,57,0,0,2306,102600,533,103.9,2182.3481315884565
Central Washington University,Washington,40,14,0,0,15296,88600,534,108.3,910.1482416639337
Northern Arizona University,Arizona,47,13,0,0,28303,84800,535,94.6,3091.519013066878
California State University-San Bernardino,California,48,10,0,0,18483,84400,536,141,-3785.9210786678013
Benedictine University,Illinois,46,7,0,1,3950,82300,537,96.7,1021.2652182998427
Nova Southeastern University,Florida,58,10,0,1,5136,83100,538,98.9,3566.8408949521836
Salem College,North Carolina,83,14,0,1,977,68900,539,93.9,79.26071676357242
University of Missouri-St Louis,Missouri,46,13,0,0,17327,80900,540,88.9,338.2090778112324
University of Alaska Fairbanks,Alaska,47,20,0,0,13045,97e3,541,130.9,7895.94345583512
Millersville University of Pennsylvania,Pennsylvania,44,16,0,0,8025,79800,542,101.2,-3420.518108353528
University of Nebraska at Omaha,Nebraska,40,16,0,0,14621,84700,543,93.4,323.52893625393335
Wells College,New York,55,26,0,1,581,67600,544,133.9,-15957.707347505537
Andrews University,Michigan,45,8,0,1,2233,77700,545,88.7,-438.91981895806384
Alfred University,New York,38,20,0,1,2014,89e3,547,133.9,-1868.6538878341962
Hollins University,Virginia,85,8,0,1,674,77900,548,102.1,9288.975781308836
Hood College,Maryland,51,34,0,1,1324,76300,549,130.4,-9246.66285887832
Alma College,Michigan,45,18,0,1,1427,82100,550,88.7,3208.326202609358
University of Massachusetts-Boston,Massachusetts,42,13,0,0,16082,87700,551,127.6,-1833.1229493074643
University of Missouri-Kansas City,Missouri,45,25,0,0,13702,84e3,553,88.9,2165.6371629839705
Southern Illinois University-Edwardsville,Illinois,41,23,0,0,13163,83500,554,96.7,-1602.016311782485
Spring Hill College,Alabama,47,13,0,1,1436,93300,555,88.8,15930.620754868098
University of Northern Colorado,Colorado,51,8,0,0,10835,84e3,556,103.9,3334.6422874898562
Hastings College,Nebraska,36,23,0,1,1200,83900,557,93.4,347.1271065659239
The University of Texas at Arlington,Texas,51,22,0,0,39975,93600,558,91.3,13534.515004879591
Georgia Southern University,Georgia,38,19,1,0,20522,82800,560,90.8,-1586.4473388376355
Elmira College,New York,58,9,0,1,1360,77600,562,133.9,-3569.9326660782826
University of New Mexico-Main Campus,New Mexico,43,20,1,0,23419,9e4,563,92.9,7059.206298857229
Murray State University,Kentucky,47,11,0,0,10225,74800,564,92.6,-4822.217130579447
University of North Carolina at Greensboro,North Carolina,54,11,0,0,18592,71900,565,93.9,-6213.277474114118
Capital University,Ohio,46,7,0,1,3139,77600,567,92.7,-1299.550315619068
Oral Roberts University,Oklahoma,46,11,0,1,3601,79500,569,88.3,447.45774949734914
St Francis College,New York,45,17,0,1,2740,88200,570,133.9,185.65369318568264
Saint Cloud State University,Minnesota,41,13,0,0,16344,86900,571,100.2,2453.6212736172165
Vanguard University of Southern California,California,54,4,0,1,2451,85e3,572,141,2345.3286549933255
Portland State University,Oregon,41,15,0,0,28348,84300,573,130,-5643.339571298828
Randolph College,Virginia,54,19,0,1,702,83800,574,102.1,6063.76311478563
Western Michigan University,Michigan,37,16,1,0,20265,88200,575,88.7,4669.265809732111
Wichita State University,Kansas,41,25,0,0,12788,79700,576,89.5,-3119.040193463894
Monmouth College,Illinois,40,19,0,1,1231,84400,577,96.7,2476.608310181211
Weber State University,Utah,42,9,0,0,31790,86700,578,96.6,4355.785203915773
University of New Orleans,Louisiana,38,25,0,0,8131,84400,579,93.4,848.2379106903827
Sam Houston State University,Texas,49,7,0,0,19163,84500,581,91.3,6710.056841468671
Immaculata University,Pennsylvania,63,3,0,1,2125,81800,582,101.2,8536.95953949912
St Catherine University,Minnesota,83,3,0,1,3810,77e3,583,100.2,7247.6529389232455
Centenary College of Louisiana,Louisiana,44,26,0,1,535,85500,584,93.4,6548.53870449157
Mississippi College,Mississippi,47,20,0,1,3323,72100,585,84,-6116.836853515357
Western Illinois University,Illinois,38,12,0,0,10355,81400,587,96.7,-2201.3897321311815
The University of Montana,Montana,42,10,0,0,12291,83600,588,103.9,-75.12763590003306
Carroll University,Wisconsin,52,15,0,1,3255,79100,590,96.3,402.3129207647289
Oakland University,Michigan,45,17,0,0,19641,87200,591,88.7,7136.87719431131
Bowling Green State University-Main Campus,Ohio,45,12,1,0,15849,83700,592,92.7,3353.7745552531705
Rhode Island College,Rhode Island,55,5,0,0,8445,78500,593,122.2,-1744.1471214977355
Aurora University,Illinois,53,4,0,1,3980,78400,594,96.7,1649.9140822070767
Millikin University,Illinois,46,9,0,1,2220,79400,595,96.7,851.7864482088917
Indiana University-Purdue University-Indianapolis,Indiana,44,14,0,0,25859,82300,596,91.5,1756.9936911173572
Humboldt State University,California,43,19,0,0,8686,86e3,597,141,-2701.7101003478456
The University of Texas Rio Grande Valley,Texas,44,18,0,0,27811,74400,598,91.3,-6646.774376995585
