college_name,state,percent_female,percent_stem,div1_fball,school_sector,undergraduate_enrollment,mid_career_median_pay,rank,col_index,gam_residual
University of Connecticut,Connecticut,38,25,1,0,20152,99200,124,127.1,-9017.921653887504
James Madison University,Virginia,46,14,0,0,21306,101700,125,102.1,2152.9022152932885
University of Delaware,Delaware,45,23,0,0,20498,102700,126,105.4,1193.0592855607392
SUNY at Binghamton,New York,36,34,0,0,14663,110200,127,133.9,275.07897042307013
Mount Holyoke College,Massachusetts,87,30,0,1,2346,88600,128,127.6,-3826.6967608153936
American University,District of Columbia,50,4,0,1,8666,106900,129,161.8,1669.1492875236436
Wofford College,South Carolina,39,27,0,1,1702,97600,130,98.3,-2175.721767625335
Ohio State University-Main Campus,Ohio,36,27,1,0,48487,92400,131,92.7,-7948.440747644214
Fordham University,New York,44,10,0,1,9785,111300,132,133.9,3645.7845611065713
Clemson University,South Carolina,34,38,1,0,19593,101100,133,98.3,-3425.765866929738
Sewanee-The University of the South,Tennessee,41,15,0,1,1810,88600,134,89.4,-7081.028008020308
Earlham College,Indiana,45,23,0,1,1004,84e3,135,91.5,-10484.653566001754
Loyola Marymount University,California,44,11,0,1,6624,114700,136,141,8207.951500890646
University of Denver,Colorado,42,13,0,1,6151,97100,137,103.9,-4811.131761232726
Gettysburg College,Pennsylvania,42,24,0,1,2664,111400,138,101.2,11953.806068293663
University of Minnesota-Twin Cities,Minnesota,41,29,1,0,44505,98200,139,100.2,-1983.2236296427582
Willamette University,Oregon,45,13,0,1,2149,98900,140,130,-2570.1315562251402
Kalamazoo College,Michigan,44,40,0,1,1467,95200,141,88.7,-270.8974384339235
Pennsylvania State University-Main Campus,Pennsylvania,34,36,1,0,43073,99600,142,101.2,-4155.489011898404
Purdue University-Main Campus,Indiana,30,39,1,0,31985,104e3,143,91.5,-204.11027035635198
Syracuse University,New York,44,28,1,1,27675,102900,144,133.9,-6184.536449423991
Loyola University Maryland,Maryland,46,9,0,1,4128,114200,145,130.4,12379.636273617449
Indiana University-Bloomington,Indiana,39,16,1,0,40945,94100,147,91.5,-3836.22226229668
Fairfield University,Connecticut,48,22,0,1,4398,117500,148,127.1,14924.713145096743
Pepperdine University,California,47,9,0,1,3698,104e3,149,141,2355.59414195054
Elon University,North Carolina,47,8,0,1,6111,90100,150,93.9,-5495.666059282201
Providence College,Rhode Island,44,11,0,1,4460,107900,151,122.2,6145.651404095537
University of Portland,Oregon,47,25,0,1,4073,102100,152,130,-667.8280906806176
California Polytechnic State University-San Luis Obispo,California,35,42,0,0,20622,114700,153,141,4842.113109551516
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,38,26,1,0,20635,94400,154,101.2,-6462.880953575164
North Carolina State University at Raleigh,North Carolina,34,47,1,0,27249,101700,155,93.9,-2585.594027208339
The College of New Jersey,New Jersey,47,16,0,0,7217,98300,156,118.4,48.451188322433154
University of San Diego,California,42,13,0,1,6166,108100,157,141,2508.5056233033683
Rutgers University-New Brunswick,New Jersey,38,29,1,0,39735,108100,158,118.4,3916.014893674568
Gonzaga University,Washington,42,18,0,1,5187,105800,161,108.3,4810.536387168977
Centre College,Kentucky,38,28,0,1,1382,85500,162,92.6,-10334.036682015736
Muhlenberg College,Pennsylvania,48,23,0,1,2534,100400,164,101.2,5344.223676173773
Clark University,Massachusetts,48,15,0,1,2508,97100,165,127.6,-1808.924343416671
Thomas Aquinas College,California,37,1,0,1,378,83300,166,141,-15582.827951959494
Westmont College,California,49,19,0,1,1359,111500,167,141,12582.014841403026
Clarkson University,New York,18,51,0,1,3352,126700,168,133.9,7262.289886533821
University of Puget Sound,Washington,47,22,0,1,2520,99800,169,108.3,3199.77531883576
Miami University-Oxford,Ohio,39,19,1,0,17717,104600,170,92.7,7542.12826555784
University of Dayton,Ohio,35,31,0,1,8999,102600,171,92.7,191.3704107420781
Hobart William Smith Colleges,New York,37,16,0,1,2378,116400,172,133.9,13087.073619202536
Marquette University,Wisconsin,41,25,0,1,8488,103100,173,96.3,2776.0311425643304
University of Vermont,Vermont,44,22,0,0,12804,96800,174,117.4,-3584.316322749961
University of Tulsa,Oklahoma,30,36,1,1,3699,99700,175,88.3,-565.6504669644637
University of Iowa,Iowa,40,16,1,0,25883,96700,176,91.9,998.5622104935901
Virginia Military Institute,Virginia,3,44,0,0,1762,124600,177,102.1,11401.247739257364
Michigan State University,Michigan,38,20,1,0,42452,97200,178,88.7,1403.540666841931
St Lawrence University,New York,42,25,0,1,2532,98400,179,133.9,-3357.477856107522
Stevens Institute of Technology,New Jersey,17,65,0,1,3076,136900,180,118.4,12254.506154724018
Manhattan College,New York,33,39,0,1,3675,119300,181,133.9,11799.00879527592
Samford University,Alabama,52,4,0,1,3282,86200,182,88.8,-1144.2546679234656
Bryant University,Rhode Island,29,9,0,1,3519,105200,183,122.2,476.94284853617137
Florida State University,Florida,43,19,1,0,35129,90600,184,98.9,-5766.238932090797
University of San Francisco,California,49,7,0,1,7469,109600,185,141,8710.127122343009
Sarah Lawrence College,New York,60,1,0,1,1422,94700,186,133.9,4273.25039431639
Stony Brook University,New York,34,36,0,0,19410,108800,187,133.9,2378.6178381150094
Texas Christian University,Texas,48,9,1,1,9261,94300,188,91.3,228.17490354533948
Creighton University,Nebraska,46,10,0,1,4586,90400,190,93.4,-2173.185715082247
Bard College,New York,45,1,0,1,2135,89e3,191,133.9,-6732.816207269658
University of Utah,Utah,33,22,1,0,28297,97500,192,96.6,-2073.069302032338
Drake University,Iowa,45,10,0,1,3609,97800,193,91.9,6219.234065687953
George Mason University,Virginia,41,23,0,0,30789,104300,194,102.1,6727.236670934726
University at Buffalo,New York,33,33,1,0,22503,92100,196,133.9,-13971.582070594464
Illinois Wesleyan University,Illinois,44,23,0,1,1857,92200,197,96.7,-666.0504825827957
Gustavus Adolphus College,Minnesota,41,24,0,1,2386,94e3,198,100.2,-1374.665632607328
CUNY Bernard M Baruch College,New York,38,8,0,0,18799,103e3,200,133.9,1621.3335560940614
University of Oklahoma-Norman Campus,Oklahoma,37,22,1,0,23570,96100,201,88.3,805.1665152783244
Lawrence University,Wisconsin,43,22,0,1,1583,95100,202,96.3,2528.86567950435
Rockhurst University,Missouri,50,12,0,1,2226,89400,203,88.9,1714.6487451249996
Emerson College,Massachusetts,48,1,0,1,4144,93100,205,127.6,-2167.0065480925987
Seattle University,Washington,48,13,0,1,5187,97700,206,108.3,2107.201006082876
Illinois Institute of Technology,Illinois,17,56,0,1,3858,114400,207,96.7,-73.4405948099884
University of South Carolina-Columbia,South Carolina,41,20,1,0,25594,84700,208,98.3,-10979.533950131314
Beloit College,Wisconsin,42,21,0,1,1467,84200,209,96.3,-8256.613271092705
University of California-Santa Cruz,California,40,38,0,0,17380,103800,210,141,30.192364005895797
Baylor University,Texas,46,18,1,1,14785,98700,211,91.3,2544.7630416882894
Stonehill College,Massachusetts,48,18,0,1,2532,101400,212,127.6,4529.090299067117
Hendrix College,Arkansas,41,29,0,1,1405,94e3,213,88.8,2947.6365131871717
Wabash College,Indiana,1,28,0,1,873,124400,214,91.5,13440.48328205278
San Diego State University,California,42,18,1,0,30960,100100,216,141,-1450.0287454042846
Saint Johns University,Minnesota,1,24,0,1,1781,110800,217,100.2,-3039.9804195057513
Marist College,New York,46,17,0,1,6112,95500,220,133.9,-5293.045258580838
Taylor University,Indiana,44,17,0,1,2482,92200,222,91.5,1501.353700827458
University of Missouri-Columbia,Missouri,40,18,1,0,29984,95700,223,88.9,2537.314837402053
Grove City College,Pennsylvania,38,31,0,1,2445,97900,224,101.2,1943.3068563679553
University of Dallas,Texas,43,13,0,1,1474,93300,225,91.3,4052.4447735103313
University of Massachusetts-Amherst,Massachusetts,38,25,1,0,25988,99300,226,127.6,-2549.676495782769
University of Oregon,Oregon,40,14,1,0,22625,93900,227,130,-6300.89107135142
Bennington College,Vermont,51,6,0,1,758,90100,229,117.4,406.24596158204076
Hope College,Michigan,48,24,0,1,3601,84800,230,88.7,-5107.627868262542
University of Arizona,Arizona,39,25,1,0,36246,97e3,231,94.6,1805.9096334044734
Washington State University,Washington,40,21,1,0,27313,98100,232,108.3,553.130724963703
Calvin College,Michigan,44,23,0,1,4200,88100,233,88.7,-3629.1012429981056
University of Kansas,Kansas,38,18,1,0,20943,95200,234,89.5,1671.858299451429
College of the Ozarks,Missouri,41,11,0,1,1577,66400,235,88.9,-22423.649159372188
Presbyterian College,South Carolina,42,17,0,1,1134,97e3,236,98.3,5852.645387210272
Ithaca College,New York,45,9,0,1,6582,103500,237,133.9,4025.45933924579
Chapman University,California,48,6,0,1,6649,94400,238,141,-3892.772706630698
Quinnipiac University,Connecticut,49,13,0,1,7418,94300,240,127.1,-4236.870869484235
Northeastern University,Massachusetts,38,38,0,1,18648,103300,241,127.6,-3140.6927571510605
The College of Wooster,Ohio,43,29,0,1,2077,87500,245,92.7,-3307.240085751371
Missouri University of Science and Technology,Missouri,12,66,0,0,7163,112200,246,88.9,-5414.4684174867725
Butler University,Indiana,47,10,0,1,4058,96700,247,91.5,7640.811977843827
Knox College,Illinois,47,25,0,1,1398,89300,248,96.7,-103.50830801455595
Truman State University,Missouri,46,15,0,0,6045,83200,249,88.9,-3709.968591902012
Austin College,Texas,40,23,0,1,1276,93500,250,91.3,3031.9120449306647
Whitworth University,Washington,50,21,0,1,2427,84700,251,108.3,-7140.3577014990005
Ursinus College,Pennsylvania,40,44,0,1,1663,99400,252,101.2,3786.2418955154426
University of Nebraska-Lincoln,Nebraska,35,22,1,0,21433,91500,253,93.4,-3957.1966869735625
Xavier University,Ohio,41,7,0,1,4941,89500,254,92.7,-1943.131438646902
Catholic University of America,District of Columbia,41,15,0,1,3561,103400,255,161.8,3029.3152378781087
SUNY Maritime College,New York,2,36,0,0,1817,145100,256,133.9,31151.108641525716
University of Scranton,Pennsylvania,45,14,0,1,4068,101400,257,101.2,8874.820324627784
Iowa State University,Iowa,31,33,1,0,32246,95800,258,91.9,-1550.780211342848
University of California-Riverside,California,40,34,0,0,19765,107400,259,141,5938.236941877491
The New School,New York,62,1,0,1,8586,103900,261,133.9,11344.51843103327
Hampshire College,Massachusetts,49,16,0,1,1461,94500,262,127.6,1054.9420561157167
Rollins College,Florida,46,12,0,1,2874,83200,263,98.9,-6801.483939989237
The University of Alabama,Alabama,43,16,1,0,35199,90900,264,88.8,406.82072658759716
Agnes Scott College,Georgia,86,22,0,1,959,78300,265,90.8,1890.470225530662
Michigan Technological University,Michigan,15,63,0,0,6035,107500,266,88.7,-5430.840725151778
Drexel University,Pennsylvania,37,29,0,1,18721,108200,267,101.2,7663.914203837223
University of Maryland-Baltimore County,Maryland,34,45,0,0,12942,99100,268,130.4,-6111.601795062117
John Carroll University,Ohio,38,17,0,1,3325,95300,269,92.7,2666.17584339896
University of the Pacific,California,40,19,0,1,3973,109700,270,141,9146.452227877686
Seattle Pacific University,Washington,56,11,0,1,3467,98200,271,108.3,9218.52637193074
Duquesne University,Pennsylvania,50,12,0,1,6410,88800,273,101.2,-2934.1623912183713
Citadel Military College of South Carolina,South Carolina,2,19,0,0,2898,108200,274,98.3,645.6754816722387
Embry-Riddle Aeronautical University-Prescott,Arizona,11,40,0,1,2356,113200,275,94.6,6242.2676055265765
University of Mary Washington,Virginia,52,19,0,0,4761,92600,276,102.1,5828.795740912203
Juniata College,Pennsylvania,44,34,0,1,1611,85400,277,101.2,-5861.532774987107
University of New Hampshire-Main Campus,New Hampshire,42,22,0,0,13852,96100,278,112,-88.9040064772853
DePaul University,Illinois,40,17,0,1,18349,100200,279,96.7,2929.6619056422205
Western Washington University,Washington,44,15,0,0,16084,95200,280,108.3,1293.7483890643052
Seton Hall University,New Jersey,44,9,0,1,6349,96800,281,118.4,350.2656777268712
University of Arkansas,Arkansas,40,20,1,0,23946,92300,283,88.8,1031.4637869856087
College of Saint Benedict,Minnesota,87,20,0,1,1989,86300,284,100.2,7433.200236184624
Oregon State University,Oregon,35,31,1,0,28849,98700,285,130,-3080.0183540282887
Southwestern University,Texas,45,20,0,1,1559,88500,286,91.3,876.1897420249588
Siena College,New York,39,17,0,1,3246,98600,288,133.9,-398.7340976851119
California Lutheran University,California,45,14,0,1,3114,95300,289,141,-1348.4285483506683
CUNY Queens College,New York,44,8,0,0,20154,95200,290,133.9,-753.6864410547569
Cedarville University,Ohio,41,18,0,1,3589,83800,291,92.7,-7355.484978987835
University of Illinois at Chicago,Illinois,38,30,0,0,19184,98500,292,96.7,4398.057442811449
Bradley University,Illinois,38,39,0,1,4647,102600,293,96.7,6931.1359029140585
Embry-Riddle Aeronautical University-Daytona Beach,Florida,8,40,0,1,5629,101100,294,98.9,-10826.826298945176
The University of Texas at Dallas,Texas,31,44,0,0,17084,97200,295,91.3,-877.1828187788342
SUNY College of Environmental Science and Forestry,New York,34,44,0,0,1867,87500,296,133.9,-10671.450158448948
SUNY at Albany,New York,37,18,0,0,14671,100500,297,133.9,134.3965097723849
University of Minnesota-Morris,Minnesota,42,37,0,0,2020,83e3,298,100.2,-4722.8402239413845
New Jersey Institute of Technology,New Jersey,13,61,0,0,8992,119700,299,118.4,-290.6651165008225
University of Redlands,California,44,6,0,1,3848,99400,300,141,3649.286361921928
Drew University,New Jersey,49,15,0,1,1633,91400,301,118.4,318.7774413267907
Messiah College,Pennsylvania,49,13,0,1,2916,84800,302,101.2,-3771.315651341647
Transylvania University,Kentucky,46,23,0,1,1061,84800,303,92.6,-1910.6328491104941
Allegheny College,Pennsylvania,42,39,0,1,1981,95600,304,101.2,3270.8034434353176
Susquehanna University,Pennsylvania,43,17,0,1,2413,95200,306,101.2,4488.33841550193
Albion College,Michigan,38,25,0,1,1405,101700,307,88.7,12533.577322510537
University of Central Florida,Florida,43,18,1,0,63692,84900,308,98.9,-905.6654510830558
Loyola University Chicago,Illinois,53,16,0,1,12324,91100,309,96.7,-444.04378115166037
University of Kentucky,Kentucky,41,19,1,0,23877,91700,310,92.6,796.0459704075474
University of Evansville,Indiana,42,16,0,1,2525,86e3,311,91.5,-2611.9416921029915
The College of Idaho,Idaho,38,19,0,1,1070,81600,312,92.7,-7666.79700108488
Sweet Briar College,Virginia,81,29,0,1,394,75700,313,102.1,-2647.367784208487
Texas Tech University,Texas,33,23,1,0,31494,100600,314,91.3,6284.060093111708
Appalachian State University,North Carolina,41,9,1,0,17469,79200,315,93.9,-10348.4039118839
Ohio Northern University,Ohio,34,21,0,1,2440,95600,316,92.7,3124.5037698203814
Mills College,California,87,7,0,1,917,85100,317,141,4377.770300317614
Oklahoma State University-Main Campus,Oklahoma,37,25,1,0,23193,94400,318,88.3,2834.4093009410135
San Jose State University,California,36,28,1,0,27855,108700,319,141,7558.569335531647
Kettering University,Michigan,8,62,0,1,2092,117e3,320,88.7,1585.3475434250431
Saint Anselm College,New Hampshire,48,17,0,1,1976,100400,321,112,10070.86449794039
Florida Institute of Technology,Florida,17,50,0,1,3902,98600,322,98.9,-9725.548283437864
Hofstra University,New York,42,8,0,1,7362,110200,323,133.9,11940.493459968406
Biola University,California,51,8,0,1,4437,89e3,325,141,-4503.23068938205
Spelman College,Georgia,87,21,0,1,2180,79400,326,90.8,3764.818562590517
New Mexico Institute of Mining and Technology,New Mexico,19,70,0,0,1755,116200,327,92.9,5988.395981878246
CUNY Hunter College,New York,53,9,0,0,20523,87500,328,133.9,-4424.910331007428
Ouachita Baptist University,Arkansas,39,18,0,1,1669,79400,329,88.8,-8542.48759491359
Lake Forest College,Illinois,44,24,0,1,1595,101700,330,96.7,13476.531125643742
Whittier College,California,44,9,0,1,1709,93700,331,141,327.04639367663185
Adelphi University,New York,57,7,0,1,5391,90600,332,133.9,-801.3676377804659
Hanover College,Indiana,47,21,0,1,1142,8e4,333,91.5,-5144.222717439232
Christopher Newport University,Virginia,44,25,0,0,5150,79800,334,102.1,-8640.873785896634
Towson University,Maryland,47,15,0,0,21337,89e3,335,130.4,-5459.94966277077
Hampden-Sydney College,Virginia,1,24,0,1,1112,105900,336,102.1,-3920.205656469756
Valparaiso University,Indiana,41,29,0,1,3426,91500,337,91.5,1662.5394175431866
Goshen College,Indiana,47,13,0,1,835,71900,338,91.5,-11729.173880903196
California State University-Long Beach,California,44,17,0,0,34062,98800,339,141,1919.8571625130862
Wittenberg University,Ohio,45,28,0,1,1870,108700,340,92.7,21746.98231890358
College of Charleston,South Carolina,50,21,0,0,11319,80200,341,98.3,-7807.3211479008605
California State University-Chico,California,40,12,0,0,17353,102e3,342,141,4656.745801306664
CUNY Brooklyn College,New York,47,9,0,0,17563,94800,343,133.9,1264.0793602279882
Millsaps College,Mississippi,38,29,0,1,783,87400,344,84,1172.1649331464723
Hamline University,Minnesota,45,6,0,1,2413,87300,345,100.2,843.6972043728892
Elmhurst College,Illinois,48,12,0,1,3108,84100,346,96.7,-2378.5341698767734
University of North Carolina Wilmington,North Carolina,50,18,0,0,14730,76300,347,93.9,-10523.014502933758
Wagner College,New York,51,12,0,1,1874,103100,348,133.9,12501.472596757783
California State Polytechnic University-Pomona,California,32,29,0,0,22651,108300,349,141,6483.105165780056
Saint Norbert College,Wisconsin,44,16,0,1,2176,90400,350,96.3,2989.7383481272846
Lebanon Valley College,Pennsylvania,42,14,0,1,1807,89600,352,101.2,1037.6763604594307
Le Moyne College,New York,48,18,0,1,3118,89500,354,133.9,-4061.1044547431957
University of Wisconsin-La Crosse,Wisconsin,44,20,0,0,10385,84600,355,96.3,-4270.347545319033
Belmont University,Tennessee,49,4,0,1,6347,78500,356,89.4,-6395.570470753388
Azusa Pacific University,California,54,4,0,1,6379,82800,357,141,-9203.625392359274
Franciscan University of Steubenville,Ohio,48,8,0,1,2249,76100,358,92.7,-7346.833481890295
Temple University,Pennsylvania,39,13,1,0,31311,90300,360,101.2,-1218.8025138103112
Rochester Institute of Technology,New York,20,47,0,1,15289,98700,361,133.9,-15739.807598105152
Canisius College,New York,39,12,0,1,2966,88e3,362,133.9,-7603.881733708913
California State University-Fullerton,California,43,15,0,0,36593,97600,363,141,1463.7065941942565
Cornell College,Iowa,39,28,0,1,1041,88500,364,91.9,1165.0172635899507
Rowan University,New Jersey,35,19,0,0,14726,86200,365,118.4,-11024.096268394977
Berea College,Kentucky,45,16,0,1,1717,68300,367,92.6,-16775.13161899637
University of Houston,Texas,37,23,1,0,39756,97700,369,91.3,7076.79169188402
University of Cincinnati-Main Campus,Ohio,39,19,1,0,28056,92800,370,92.7,2940.995027909041
Saint John Fisher College,New York,48,10,0,1,2992,83400,371,133.9,-8142.886649839042
University of Hawaii at Manoa,Hawaii,43,18,1,0,15844,86100,372,186.3,-9631.422344762526
Union University,Tennessee,49,6,0,1,2990,71300,373,89.4,-10748.021003314963
George Fox University,Oregon,45,9,0,1,2960,81300,374,130,-10580.802850070788
La Salle University,Pennsylvania,51,6,0,1,4284,103900,376,101.2,18642.38567713443
Salisbury University,Maryland,45,14,0,0,8658,87400,377,130.4,-5126.4758684050175
Simmons College,Massachusetts,86,4,0,1,1850,89500,378,127.6,11482.738760031352
Dordt College,Iowa,37,17,0,1,1529,79600,379,91.9,-7917.715160282765
University of Nevada-Reno,Nevada,41,26,1,0,19708,90700,380,110.3,-2272.033333674888
University of Wyoming,Wyoming,40,24,1,0,11301,92e3,381,91.4,3264.9793115092616
Bellarmine University,Kentucky,53,8,0,1,2810,90200,382,92.6,8744.36328015673
Illinois State University,Illinois,43,10,0,0,19898,90600,383,96.7,3340.19869218691
California State University-Stanislaus,California,52,10,0,0,8745,90300,384,141,255.24840285499522
Kansas State University,Kansas,36,18,1,0,21725,90600,386,89.5,1115.587782361079
Pace University-New York,New York,46,12,0,1,10231,106200,387,133.9,9602.687954110414
Luther College,Iowa,43,24,0,1,2380,80100,388,91.9,-6133.8259091785585
CUNY City College,New York,39,31,0,0,15744,90400,389,133.9,-6658.874564945596
John Brown University,Arkansas,45,7,0,1,2331,77600,390,88.8,-4644.436237306945
Pacific Lutheran University,Washington,50,18,0,1,3054,95e3,391,108.3,7334.4627069269045
Berry College,Georgia,50,23,0,1,2189,84100,392,90.8,1008.1134928771644
Lynn University,Florida,36,3,0,1,2186,79500,394,98.9,-7458.921081052904
Utah State University,Utah,41,15,1,0,29981,91800,395,96.6,3184.2137704016786
Carroll College,Montana,46,26,0,1,1515,87900,396,103.9,1112.247593286258
Louisiana Tech University,Louisiana,36,21,1,0,12174,93200,397,93.4,2949.5127395410527
Montclair State University,New Jersey,49,10,0,0,18348,93900,399,118.4,4830.141427245806
North Dakota State University-Main Campus,North Dakota,34,26,0,0,13063,93100,401,99,510.01402963040164
University of Northern Iowa,Iowa,46,10,0,0,11284,82200,402,91.9,-1857.684791380103
Houghton College,New York,52,15,0,1,1095,71900,403,133.9,-15997.713770994218
Merrimack College,Massachusetts,40,12,0,1,3522,99500,404,127.6,6003.1715777156205
Brigham Young University-Idaho,Idaho,44,14,0,1,65811,90800,406,92.7,7285.951488279723
Ohio Wesleyan University,Ohio,41,18,0,1,1734,102800,408,92.7,17476.538988616216
Milwaukee School of Engineering,Wisconsin,14,59,0,1,2825,106900,409,96.3,-2964.3882468750526
Sonoma State University,California,50,12,0,0,9053,92600,410,141,2385.213474439952
Elizabethtown College,Pennsylvania,50,27,0,1,1814,89400,411,101.2,4853.912813521863
Warren Wilson College,North Carolina,48,10,0,1,819,75300,412,93.9,-5267.047194352432
Nebraska Wesleyan University,Nebraska,51,11,0,1,3719,79200,413,93.4,-3372.7119298392063
Gordon College,Massachusetts,50,16,0,1,1798,87400,414,127.6,-1004.4105734446639
Coe College,Iowa,45,20,0,1,1498,82e3,415,91.9,-1294.883032929618
Covenant College,Georgia,45,11,0,1,1081,70500,416,90.8,-10731.566678263378
Iona College,New York,39,6,0,1,3558,103300,417,133.9,10489.365521713233
University of Massachusetts-Lowell,Massachusetts,27,36,0,0,16166,105500,418,127.6,4495.081522456792
Birmingham Southern College,Alabama,38,26,0,1,1382,82900,419,88.8,-2349.0782410956454
Montana State University,Montana,33,29,0,0,15081,92e3,420,103.9,-1585.2957995622855
Roger Williams University,Rhode Island,39,13,0,1,4923,84400,421,122.2,-9528.155733319072
Stetson University,Florida,45,8,0,1,3179,83200,422,98.9,-1302.6595898119558
Saint Vincent College,Pennsylvania,35,20,0,1,1686,81e3,424,101.2,-8346.843467326282
Mississippi State University,Mississippi,38,28,1,0,19030,89100,425,84,2727.9717459803796
University of Louisville,Kentucky,38,19,1,0,18219,81500,426,92.6,-6560.538018257139
Concordia College at Moorhead,Minnesota,47,20,0,1,2202,77600,427,100.2,-7259.0670058877295
Converse College,South Carolina,87,7,0,1,853,61800,428,98.3,-8278.038785645316
Stockton University,New Jersey,47,14,0,0,8971,87900,429,118.4,-493.82246641415986
Virginia Commonwealth University,Virginia,45,18,0,0,26531,82400,430,102.1,-4950.561374376804
West Chester University of Pennsylvania,Pennsylvania,47,10,0,0,15787,88600,431,101.2,3425.736179239073
North Central College,Illinois,42,9,0,1,2921,91100,432,96.7,6388.668277425779
Oklahoma City University,Oklahoma,54,9,0,1,2007,74700,433,88.3,-2869.8830174503237
