college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Kennesaw State University,Georgia,37,22,Not Division 1 Football,Public,35348,90800
Mount St Mary's University,Maryland,41,10,Not Division 1 Football,Private not-for-profit,1949,90700
University of Nevada-Reno,Nevada,41,26,Mountain West,Public,19708,90700
LIU Post,New York,46,6,Not Division 1 Football,Private not-for-profit,6762,90700
Florida State University,Florida,43,19,ACC,Public,35129,90600
Illinois State University,Illinois,43,10,Not Division 1 Football,Public,19898,90600
Kansas State University,Kansas,36,18,Big 12,Public,21725,90600
Saint Louis University,Missouri,47,13,Not Division 1 Football,Private not-for-profit,14458,90600
Fairleigh Dickinson University-Metropolitan Campus,New Jersey,43,24,Not Division 1 Football,Private not-for-profit,6528,90600
Adelphi University,New York,57,7,Not Division 1 Football,Private not-for-profit,5391,90600
Thomas Edison State University,New Jersey,32,1,Not Division 1 Football,Public,16506,90500
Creighton University,Nebraska,46,10,Not Division 1 Football,Private not-for-profit,4586,90400
CUNY City College,New York,39,31,Not Division 1 Football,Public,15744,90400
Texas Tech University Health Sciences Center,Texas,73,4,Not Division 1 Football,Public,2513,90400
Saint Norbert College,Wisconsin,44,16,Not Division 1 Football,Private not-for-profit,2176,90400
California State University-Stanislaus,California,52,10,Not Division 1 Football,Public,8745,90300
Stevenson University,Maryland,55,20,Not Division 1 Football,Private not-for-profit,4147,90300
University of Mount Union,Ohio,38,18,Not Division 1 Football,Private not-for-profit,2137,90300
Temple University,Pennsylvania,39,13,American Athletic,Public,31311,90300
New England Institute of Technology,Rhode Island,21,18,Not Division 1 Football,Private not-for-profit,3995,90300
Abilene Christian University,Texas,47,8,Not Division 1 Football,Private not-for-profit,3845,90300
Mount Saint Mary's University,California,80,4,Not Division 1 Football,Private not-for-profit,3036,90200
Bellarmine University,Kentucky,53,8,Not Division 1 Football,Private not-for-profit,2810,90200
University of Minnesota-Duluth,Minnesota,35,33,Not Division 1 Football,Public,10374,90200
Elon University,North Carolina,47,8,Not Division 1 Football,Private not-for-profit,6111,90100
Bennington College,Vermont,51,6,Not Division 1 Football,Private not-for-profit,758,90100
