college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
University of Wisconsin-Whitewater,Wisconsin,38,8,Not Division 1 Football,Public,12637,83900
Harding University,Arkansas,43,12,Not Division 1 Football,Private not-for-profit,4889,83800
Barnes-Jewish College Goldfarb School of Nursing,Missouri,74,1,Not Division 1 Football,Private not-for-profit,939,83800
Cedarville University,Ohio,41,18,Not Division 1 Football,Private not-for-profit,3589,83800
Texas A & M University-Kingsville,Texas,36,54,Not Division 1 Football,Public,7607,83800
Randolph College,Virginia,54,19,Not Division 1 Football,Private not-for-profit,702,83800
Roosevelt University,Illinois,51,11,Not Division 1 Football,Private not-for-profit,3576,83700
Curry College,Massachusetts,51,3,Not Division 1 Football,Private not-for-profit,3186,83700
Bowling Green State University-Main Campus,Ohio,45,12,Mid-American,Public,15849,83700
Alaska Pacific University,Alaska,54,8,Not Division 1 Football,Private not-for-profit,348,83600
The University of Montana,Montana,42,10,Not Division 1 Football,Public,12291,83600
Southern Illinois University-Edwardsville,Illinois,41,23,Not Division 1 Football,Public,13163,83500
Clarkson College,Nebraska,75,1,Not Division 1 Football,Private not-for-profit,936,83500
University of La Verne,California,45,5,Not Division 1 Football,Private not-for-profit,6674,83400
Massachusetts College of Art and Design,Massachusetts,59,1,Not Division 1 Football,Public,2243,83400
Saint John Fisher College,New York,48,10,Not Division 1 Football,Private not-for-profit,2992,83400
Cleveland Institute of Art,Ohio,45,1,Not Division 1 Football,Private not-for-profit,618,83400
Robert Morris University,Pennsylvania,32,21,Not Division 1 Football,Private not-for-profit,4960,83400
Augustana University,South Dakota,48,16,Not Division 1 Football,Private not-for-profit,1700,83400
Thomas Aquinas College,California,37,1,Not Division 1 Football,Private not-for-profit,378,83300
Nebraska Methodist College of Nursing & Allied Health,Nebraska,75,1,Not Division 1 Football,Private not-for-profit,924,83300
Southwestern Oklahoma State University,Oklahoma,46,7,Not Division 1 Football,Public,5093,83300
Rollins College,Florida,46,12,Not Division 1 Football,Private not-for-profit,2874,83200
Stetson University,Florida,45,8,Not Division 1 Football,Private not-for-profit,3179,83200
Truman State University,Missouri,46,15,Not Division 1 Football,Public,6045,83200
Lipscomb University,Tennessee,48,11,Not Division 1 Football,Private not-for-profit,3546,83200
Western Connecticut State University,Connecticut,41,8,Not Division 1 Football,Public,6423,83100
Nova Southeastern University,Florida,58,10,Not Division 1 Football,Private not-for-profit,5136,83100
Central College,Iowa,42,34,Not Division 1 Football,Private not-for-profit,1521,83100
Northern Kentucky University,Kentucky,44,11,Not Division 1 Football,Public,14417,83100
Frostburg State University,Maryland,40,15,Not Division 1 Football,Public,5534,83100
Medical University of South Carolina,South Carolina,68,6,Not Division 1 Football,Public,403,83100
South Dakota State University,South Dakota,42,17,Not Division 1 Football,Public,13235,83100
Bethany College,West Virginia,37,15,Not Division 1 Football,Private not-for-profit,826,83100
Adventist University of Health Sciences,Florida,67,7,Not Division 1 Football,Private not-for-profit,2260,83e3
Franklin College,Indiana,41,24,Not Division 1 Football,Private not-for-profit,1138,83e3
Trine University,Indiana,30,37,Not Division 1 Football,Private not-for-profit,3483,83e3
University of Minnesota-Morris,Minnesota,42,37,Not Division 1 Football,Public,2020,83e3
Winona State University,Minnesota,49,12,Not Division 1 Football,Public,8818,83e3
Daemen College,New York,60,2,Not Division 1 Football,Private not-for-profit,2260,83e3
Dallas Baptist University,Texas,47,5,Not Division 1 Football,Private not-for-profit,3930,83e3
Birmingham Southern College,Alabama,38,26,Not Division 1 Football,Private not-for-profit,1382,82900
Eckerd College,Florida,50,26,Not Division 1 Football,Private not-for-profit,2278,82900
"Union College - Lincoln, NE",Nebraska,48,17,Not Division 1 Football,Private not-for-profit,901,82900
Lincoln University of Pennsylvania,Pennsylvania,50,11,Not Division 1 Football,Public,1808,82900
Carthage College,Wisconsin,42,17,Not Division 1 Football,Private not-for-profit,3087,82900
Azusa Pacific University,California,54,4,Not Division 1 Football,Private not-for-profit,6379,82800
Georgia Southern University,Georgia,38,19,Sun Belt,Public,20522,82800
Ferris State University,Michigan,41,9,Not Division 1 Football,Public,15785,82800
Missouri State University-Springfield,Missouri,46,9,Not Division 1 Football,Public,21809,82800
CUNY York College,New York,53,11,Not Division 1 Football,Public,10664,82800
Dominican University,Illinois,54,7,Not Division 1 Football,Private not-for-profit,2438,82700
Ottawa University-Ottawa,Kansas,27,11,Not Division 1 Football,Private not-for-profit,664,82700
Wright State University-Main Campus,Ohio,40,32,Not Division 1 Football,Public,14240,82700
University of Baltimore,Maryland,46,3,Not Division 1 Football,Public,3878,82600
McNeese State University,Louisiana,47,14,Not Division 1 Football,Public,8361,82500
"University of Maryland, Baltimore",Maryland,72,5,Not Division 1 Football,Public,1101,82500
Randolph-Macon College,Virginia,43,26,Not Division 1 Football,Private not-for-profit,1601,82500
New College of Florida,Florida,50,1,Not Division 1 Football,Public,884,82500
Metropolitan State University of Denver,Colorado,41,11,Not Division 1 Football,Public,24868,82400
SUNY College at Oswego,New York,39,11,Not Division 1 Football,Public,8225,82400
Virginia Commonwealth University,Virginia,45,18,Not Division 1 Football,Public,26531,82400
Edgewood College,Wisconsin,58,7,Not Division 1 Football,Private not-for-profit,2001,82400
Benedictine University,Illinois,46,7,Not Division 1 Football,Private not-for-profit,3950,82300
Indiana University-Purdue University-Indianapolis,Indiana,44,14,Not Division 1 Football,Public,25859,82300
Saint Mary's College,Indiana,86,17,Not Division 1 Football,Private not-for-profit,1686,82300
The University of Findlay,Ohio,49,4,Not Division 1 Football,Private not-for-profit,4098,82300
Chaminade University of Honolulu,Hawaii,51,5,Not Division 1 Football,Private not-for-profit,2299,82200
University of Northern Iowa,Iowa,46,10,Not Division 1 Football,Public,11284,82200
Texas A & M University-Commerce,Texas,47,12,Not Division 1 Football,Public,8943,82200
Notre Dame of Maryland University,Maryland,78,4,Not Division 1 Football,Private not-for-profit,1391,82100
Bridgewater State University,Massachusetts,47,9,Not Division 1 Football,Public,10873,82100
Alma College,Michigan,45,18,Not Division 1 Football,Private not-for-profit,1427,82100
Champlain College,Vermont,30,18,Not Division 1 Football,Private not-for-profit,4680,82100
Eastern Connecticut State University,Connecticut,42,14,Not Division 1 Football,Public,5699,82e3
University of Indianapolis,Indiana,52,6,Not Division 1 Football,Private not-for-profit,4763,82e3
Coe College,Iowa,45,20,Not Division 1 Football,Private not-for-profit,1498,82e3
Mount Saint Joseph University,Ohio,48,6,Not Division 1 Football,Private not-for-profit,1726,82e3
The University of Texas at San Antonio,Texas,37,23,Conference USA,Public,27364,82e3
University of Detroit Mercy,Michigan,53,20,Not Division 1 Football,Private not-for-profit,3004,81900
University of Alabama at Birmingham,Alabama,47,18,Conference USA,Public,13440,81800
Methodist College,Illinois,75,1,Not Division 1 Football,Private not-for-profit,708,81800
University of St Francis,Illinois,56,5,Not Division 1 Football,Private not-for-profit,1834,81800
SUNY Cortland,New York,44,7,Not Division 1 Football,Public,6829,81800
Immaculata University,Pennsylvania,63,3,Not Division 1 Football,Private not-for-profit,2125,81800
York College Pennsylvania,Pennsylvania,43,12,Not Division 1 Football,Private not-for-profit,5011,81800
Baptist Memorial College of Health Sciences,Tennessee,78,4,Not Division 1 Football,Private not-for-profit,1211,81800
Roanoke College,Virginia,48,18,Not Division 1 Football,Private not-for-profit,2098,81800
Simpson College,Iowa,42,18,Not Division 1 Football,Private not-for-profit,1779,81700
Clarion University of Pennsylvania,Pennsylvania,51,9,Not Division 1 Football,Public,5283,81700
The University of Texas of the Permian Basin,Texas,45,20,Not Division 1 Football,Public,7119,81700
University of Saint Joseph,Connecticut,84,9,Not Division 1 Football,Private not-for-profit,1124,81600
The College of Idaho,Idaho,38,19,Not Division 1 Football,Private not-for-profit,1070,81600
University of Akron Main Campus,Ohio,35,20,Mid-American,Public,21460,81600
San Francisco Art Institute,California,51,1,Not Division 1 Football,Private not-for-profit,541,81500
National Louis University,Illinois,67,1,Not Division 1 Football,Private not-for-profit,1982,81500
University of Louisville,Kentucky,38,19,ACC,Public,18219,81500
SUNY College at Potsdam,New York,45,16,Not Division 1 Football,Public,3907,81500
Indiana University of Pennsylvania-Main Campus,Pennsylvania,42,7,Not Division 1 Football,Public,13061,81500
Western Illinois University,Illinois,38,12,Not Division 1 Football,Public,10355,81400
DeSales University,Pennsylvania,49,9,Not Division 1 Football,Private not-for-profit,2800,81400
University of North Georgia,Georgia,43,10,Not Division 1 Football,Public,20064,81400
Indiana Institute of Technology,Indiana,50,13,Not Division 1 Football,Private not-for-profit,8685,81300
Campbell University,North Carolina,38,10,Not Division 1 Football,Private not-for-profit,5409,81300
Cleveland State University,Ohio,41,18,Not Division 1 Football,Public,14415,81300
George Fox University,Oregon,45,9,Not Division 1 Football,Private not-for-profit,2960,81300
Southern Utah University,Utah,49,8,Not Division 1 Football,Public,14451,81300
West Virginia Wesleyan College,West Virginia,43,21,Not Division 1 Football,Private not-for-profit,1434,81300
SUNY College of Technology at Alfred,New York,28,7,Not Division 1 Football,Public,4193,81200
Concordia University-Saint Paul,Minnesota,47,7,Not Division 1 Football,Private not-for-profit,3218,81100
SUNY College at Plattsburgh,New York,44,11,Not Division 1 Football,Public,6043,81100
Colorado State University-Pueblo,Colorado,42,15,Not Division 1 Football,Public,6683,81e3
Principia College,Illinois,39,20,Not Division 1 Football,Private not-for-profit,489,81e3
Worcester State University,Massachusetts,47,11,Not Division 1 Football,Public,6624,81e3
Otterbein University,Ohio,49,7,Not Division 1 Football,Private not-for-profit,2477,81e3
Rosemont College,Pennsylvania,52,7,Not Division 1 Football,Private not-for-profit,876,81e3
Saint Vincent College,Pennsylvania,35,20,Not Division 1 Football,Private not-for-profit,1686,81e3
University of Missouri-St Louis,Missouri,46,13,Not Division 1 Football,Public,17327,80900
East Carolina University,North Carolina,46,13,American Athletic,Public,25671,80800
West Texas A & M University,Texas,44,9,Not Division 1 Football,Public,8330,80800
The King�s College,New York,51,1,Not Division 1 Football,Private not-for-profit,580,80800
California Institute of the Arts,California,47,1,Not Division 1 Football,Private not-for-profit,975,80700
Jacksonville University,Florida,55,6,Not Division 1 Football,Private not-for-profit,4062,80700
Southern University and A & M College,Louisiana,53,19,Not Division 1 Football,Public,11717,80700
Graceland University-Lamoni,Iowa,44,4,Not Division 1 Football,Private not-for-profit,1829,80600
Eastern Michigan University,Michigan,47,8,Mid-American,Public,20388,80600
Franklin Pierce University,New Hampshire,44,5,Not Division 1 Football,Private not-for-profit,1874,80600
College of Saint Elizabeth,New Jersey,80,5,Not Division 1 Football,Private not-for-profit,855,80600
Queens University of Charlotte,North Carolina,56,6,Not Division 1 Football,Private not-for-profit,1846,80600
Youngstown State University,Ohio,41,19,Not Division 1 Football,Public,12964,80600
Angelo State University,Texas,43,10,Not Division 1 Football,Public,8132,80600
Webster University,Missouri,44,2,Not Division 1 Football,Private not-for-profit,3853,80500
East Stroudsburg University of Pennsylvania,Pennsylvania,44,15,Not Division 1 Football,Public,6870,80500
Radford University,Virginia,43,11,Not Division 1 Football,Public,9379,80500
Northwood University,Michigan,32,2,Not Division 1 Football,Private not-for-profit,4018,80400
Centenary University,New Jersey,48,2,Not Division 1 Football,Private not-for-profit,1751,80400
Concordia College-New York,New York,54,5,Not Division 1 Football,Private not-for-profit,1114,80400
Ripon College,Wisconsin,38,29,Not Division 1 Football,Private not-for-profit,810,80400
Olivet Nazarene University,Illinois,50,6,Not Division 1 Football,Private not-for-profit,3709,80300
Eastern Nazarene College,Massachusetts,51,8,Not Division 1 Football,Private not-for-profit,917,80300
Rivier University,New Hampshire,68,34,Not Division 1 Football,Private not-for-profit,1865,80300
University of West Georgia,Georgia,51,9,Not Division 1 Football,Public,12171,80200
Saint Francis Medical Center College of Nursing,Illinois,76,1,Not Division 1 Football,Private not-for-profit,508,80200
Metropolitan State University,Minnesota,45,11,Not Division 1 Football,Public,10305,80200
College of Mount Saint Vincent,New York,57,9,Not Division 1 Football,Private not-for-profit,1706,80200
State University of New York at New Paltz,New York,50,15,Not Division 1 Football,Public,7749,80200
College of Charleston,South Carolina,50,21,Not Division 1 Football,Public,11319,80200
Ferrum College,Virginia,33,9,Not Division 1 Football,Private not-for-profit,1396,80200
Shepherd University,West Virginia,46,12,Not Division 1 Football,Public,4162,80200
University of South Alabama,Alabama,42,18,Sun Belt,Public,13267,80100
Ball State University,Indiana,47,8,Mid-American,Public,18583,80100
Luther College,Iowa,43,24,Not Division 1 Football,Private not-for-profit,2380,80100
Bellevue University,Nebraska,38,19,Not Division 1 Football,Private not-for-profit,7814,80100
Dominican College of Blauvelt,New York,55,5,Not Division 1 Football,Private not-for-profit,1677,80100
Hardin-Simmons University,Texas,42,9,Not Division 1 Football,Private not-for-profit,1820,80100
Hanover College,Indiana,47,21,Not Division 1 Football,Private not-for-profit,1142,8e4
Indiana State University,Indiana,41,8,Not Division 1 Football,Public,14331,8e4
Pennsylvania State University-Penn State Abington,Pennsylvania,42,11,Not Division 1 Football,Public,4705,8e4
California State University-Monterey Bay,California,50,13,Not Division 1 Football,Public,7308,8e4
Boise State University,Idaho,42,13,Mountain West,Public,22234,79900
Columbia College Chicago,Illinois,46,1,Not Division 1 Football,Private not-for-profit,9492,79900
Lewis University,Illinois,42,11,Not Division 1 Football,Private not-for-profit,5482,79900
McKendree University,Illinois,43,7,Not Division 1 Football,Private not-for-profit,2695,79900
Manchester University,Indiana,40,9,Not Division 1 Football,Private not-for-profit,1287,79900
Baker University,Kansas,44,3,Not Division 1 Football,Private not-for-profit,2124,79900
"Bethel University - Saint Paul, MN",Minnesota,50,7,Not Division 1 Football,Private not-for-profit,3141,79900
Hiram College,Ohio,41,20,Not Division 1 Football,Private not-for-profit,1217,79800
Millersville University of Pennsylvania,Pennsylvania,44,16,Not Division 1 Football,Public,8025,79800
University of Memphis,Tennessee,47,12,American Athletic,Public,19345,79800
Christopher Newport University,Virginia,44,25,Not Division 1 Football,Public,5150,79800
Wichita State University,Kansas,41,25,Not Division 1 Football,Public,12788,79700
American International College,Massachusetts,48,2,Not Division 1 Football,Private not-for-profit,1539,79700
University of Great Falls,Montana,57,9,Not Division 1 Football,Private not-for-profit,1167,79700
Slippery Rock University of Pennsylvania,Pennsylvania,45,9,Not Division 1 Football,Public,8601,79700
Dordt College,Iowa,37,17,Not Division 1 Football,Private not-for-profit,1529,79600
Brescia University,Kentucky,65,6,Not Division 1 Football,Private not-for-profit,1168,79600
Regis College,Massachusetts,69,3,Not Division 1 Football,Private not-for-profit,1674,79600
Caldwell University,New Jersey,59,8,Not Division 1 Football,Private not-for-profit,1733,79600
Goldey-Beacom College,Delaware,47,34,Not Division 1 Football,Private not-for-profit,692,79500
Lynn University,Florida,36,3,Not Division 1 Football,Private not-for-profit,2186,79500
Pittsburg State University,Kansas,36,8,Not Division 1 Football,Public,6784,79500
Minneapolis College of Art and Design,Minnesota,55,1,Not Division 1 Football,Private not-for-profit,724,79500
Oral Roberts University,Oklahoma,46,11,Not Division 1 Football,Private not-for-profit,3601,79500
Ouachita Baptist University,Arkansas,39,18,Not Division 1 Football,Private not-for-profit,1669,79400
Spelman College,Georgia,87,21,Not Division 1 Football,Private not-for-profit,2180,79400
Millikin University,Illinois,46,9,Not Division 1 Football,Private not-for-profit,2220,79400
Wartburg College,Iowa,40,31,Not Division 1 Football,Private not-for-profit,1599,79400
Niagara University,New York,49,8,Not Division 1 Football,Private not-for-profit,3485,79400
Eastern University,Pennsylvania,59,3,Not Division 1 Football,Private not-for-profit,2478,79400
College of St Joseph,Vermont,39,1,Not Division 1 Football,Private not-for-profit,284,79400
Northwest University,Washington,55,5,Not Division 1 Football,Private not-for-profit,994,79300
Pennsylvania College of Technology,Pennsylvania,26,5,Not Division 1 Football,Public,6161,79300
Northwest Missouri State University,Missouri,43,27,Not Division 1 Football,Public,6311,79200
Park University,Missouri,35,9,Not Division 1 Football,Private not-for-profit,15066,79200
Nebraska Wesleyan University,Nebraska,51,11,Not Division 1 Football,Private not-for-profit,3719,79200
Appalachian State University,North Carolina,41,9,Sun Belt,Public,17469,79200
Augusta University,Georgia,52,11,Not Division 1 Football,Public,5445,79200
Florida Agricultural and Mechanical University,Florida,51,10,Not Division 1 Football,Public,9130,79100
Western Kentucky University,Kentucky,46,11,Conference USA,Public,20547,79100
The College of Saint Scholastica,Minnesota,60,11,Not Division 1 Football,Private not-for-profit,3233,79100
Albright College,Pennsylvania,49,14,Not Division 1 Football,Private not-for-profit,2349,79100
Carroll University,Wisconsin,52,15,Not Division 1 Football,Private not-for-profit,3255,79100
Illinois College,Illinois,40,34,Not Division 1 Football,Private not-for-profit,978,79e3
Central Michigan University,Michigan,44,12,Mid-American,Public,21479,79e3
Fort Lewis College,Colorado,39,18,Not Division 1 Football,Public,4086,78900
Maharishi University of Management,Iowa,42,46,Not Division 1 Football,Private not-for-profit,486,78900
Saint Ambrose University,Iowa,46,12,Not Division 1 Football,Private not-for-profit,2681,78900
Heidelberg University,Ohio,35,11,Not Division 1 Football,Private not-for-profit,1096,78900
Gwynedd Mercy University,Pennsylvania,64,2,Not Division 1 Football,Private not-for-profit,2397,78900
Shenandoah University,Virginia,49,7,Not Division 1 Football,Private not-for-profit,2608,78900
Georgetown College,Kentucky,40,11,Not Division 1 Football,Private not-for-profit,1037,78800
Lasell College,Massachusetts,53,1,Not Division 1 Football,Private not-for-profit,1878,78800
Marymount Manhattan College,New York,65,2,Not Division 1 Football,Private not-for-profit,2098,78800
Arcadia University,Pennsylvania,57,13,Not Division 1 Football,Private not-for-profit,2827,78800
Eastern Washington University,Washington,41,19,Not Division 1 Football,Public,12580,78800
La Sierra University,California,46,12,Not Division 1 Football,Private not-for-profit,2405,78700
Southern New Hampshire University,New Hampshire,51,9,Not Division 1 Football,Private not-for-profit,72585,78700
New Jersey City University,New Jersey,48,9,Not Division 1 Football,Public,7469,78700
Mercy College,New York,58,4,Not Division 1 Football,Private not-for-profit,9864,78700
The College of Saint Rose,New York,54,5,Not Division 1 Football,Private not-for-profit,2768,78700
University of Jamestown,North Dakota,41,7,Not Division 1 Football,Private not-for-profit,988,78700
McMurry University,Texas,31,11,Not Division 1 Football,Private not-for-profit,1265,78700
Lakeview College of Nursing,Illinois,71,1,Not Division 1 Football,Private not-for-profit,373,78600
Muskingum University,Ohio,44,9,Not Division 1 Football,Private not-for-profit,2045,78600
Midwestern State University,Texas,45,15,Not Division 1 Football,Public,6039,78600
"Marian University - Fond Du Lac, WI",Wisconsin,59,5,Not Division 1 Football,Private not-for-profit,1842,78600
St Thomas University,Florida,46,5,Not Division 1 Football,Private not-for-profit,3753,78500
Walsh College of Accountancy and Business Administration,Michigan,36,6,Not Division 1 Football,Private not-for-profit,1317,78500
Minnesota State University Moorhead,Minnesota,48,8,Not Division 1 Football,Public,6088,78500
Rhode Island College,Rhode Island,55,5,Not Division 1 Football,Public,8445,78500
Belmont University,Tennessee,49,4,Not Division 1 Football,Private not-for-profit,6347,78500
Aurora University,Illinois,53,4,Not Division 1 Football,Private not-for-profit,3980,78400
Walsh University,Ohio,48,10,Not Division 1 Football,Private not-for-profit,2433,78400
Fisk University,Tennessee,53,34,Not Division 1 Football,Private not-for-profit,819,78400
Agnes Scott College,Georgia,86,22,Not Division 1 Football,Private not-for-profit,959,78300
Northeastern Illinois University,Illinois,44,16,Not Division 1 Football,Public,9669,78300
University of Holy Cross,Louisiana,74,6,Not Division 1 Football,Private not-for-profit,1055,78300
University of Arkansas for Medical Sciences,Arkansas,66,5,Not Division 1 Football,Public,828,78200
St. Joseph's College-New York,New York,54,8,Not Division 1 Football,Private not-for-profit,4656,78200
Baldwin Wallace University,Ohio,44,13,Not Division 1 Football,Private not-for-profit,3680,78200
Concordia University-Texas,Texas,52,6,Not Division 1 Football,Private not-for-profit,2017,78200
The Evergreen State College,Washington,43,1,Not Division 1 Football,Public,4691,78200
Barry University,Florida,48,13,Not Division 1 Football,Private not-for-profit,4403,78100
Ringling College of Art and Design,Florida,51,1,Not Division 1 Football,Private not-for-profit,1277,78100
Northwestern College,Iowa,46,15,Not Division 1 Football,Private not-for-profit,1151,78100
Nicholls State University,Louisiana,50,5,Not Division 1 Football,Public,6454,78100
Maryland Institute College of Art,Maryland,62,1,Not Division 1 Football,Private not-for-profit,2136,78100
Berklee College of Music,Massachusetts,23,1,Not Division 1 Football,Private not-for-profit,6607,78100
Misericordia University,Pennsylvania,56,6,Not Division 1 Football,Private not-for-profit,2619,78100
Saint Joseph's College of Maine,Maine,53,3,Not Division 1 Football,Private not-for-profit,2740,78e3
Cleary University,Michigan,41,3,Not Division 1 Football,Private not-for-profit,542,78e3
Lake Superior State University,Michigan,39,13,Not Division 1 Football,Public,2559,78e3
Kent State University at Kent,Ohio,48,15,Mid-American,Public,27443,78e3
Kutztown University of Pennsylvania,Pennsylvania,42,8,Not Division 1 Football,Public,8908,78e3
Point Park University,Pennsylvania,45,4,Not Division 1 Football,Private not-for-profit,3748,78e3
Troy University,Alabama,47,9,Sun Belt,Public,17375,77900
University of the District of Columbia,District of Columbia,48,11,Not Division 1 Football,Public,5754,77900
Palm Beach Atlantic University,Florida,51,5,Not Division 1 Football,Private not-for-profit,3402,77900
School of the Art Institute of Chicago,Illinois,61,1,Not Division 1 Football,Private not-for-profit,3889,77900
Eastern Kentucky University,Kentucky,44,6,Not Division 1 Football,Public,16253,77900
Utica College,New York,49,4,Not Division 1 Football,Private not-for-profit,3623,77900
Concordia University-Portland,Oregon,54,1,Not Division 1 Football,Private not-for-profit,1389,77900
Hollins University,Virginia,85,8,Not Division 1 Football,Private not-for-profit,674,77900
Longwood University,Virginia,55,8,Not Division 1 Football,Public,5256,77900
Charter Oak State College,Connecticut,56,1,Not Division 1 Football,Public,2507,77800
Southwestern College,Kansas,25,12,Not Division 1 Football,Private not-for-profit,2219,77800
Colby-Sawyer College,New Hampshire,57,10,Not Division 1 Football,Private not-for-profit,1231,77800
Keene State College,New Hampshire,44,7,Not Division 1 Football,Public,4529,77800
Texas Lutheran University,Texas,41,17,Not Division 1 Football,Private not-for-profit,1467,77800
University of Wisconsin-Oshkosh,Wisconsin,47,10,Not Division 1 Football,Public,14287,77800
Andrews University,Michigan,45,8,Not Division 1 Football,Private not-for-profit,2233,77700
The University of the Arts,Pennsylvania,48,1,Not Division 1 Football,Private not-for-profit,1759,77700
Bridgewater College,Virginia,41,19,Not Division 1 Football,Private not-for-profit,1896,77700
John Brown University,Arkansas,45,7,Not Division 1 Football,Private not-for-profit,2331,77600
Delaware State University,Delaware,51,13,Not Division 1 Football,Public,4413,77600
Concordia College at Moorhead,Minnesota,47,20,Not Division 1 Football,Private not-for-profit,2202,77600
Elmira College,New York,58,9,Not Division 1 Football,Private not-for-profit,1360,77600
Capital University,Ohio,46,7,Not Division 1 Football,Private not-for-profit,3139,77600
Albertus Magnus College,Connecticut,55,2,Not Division 1 Football,Private not-for-profit,1658,77500
Flagler College-St Augustine,Florida,49,1,Not Division 1 Football,Private not-for-profit,2840,77500
University of Illinois at Springfield,Illinois,38,47,Not Division 1 Football,Public,3445,77500
Indiana University-Purdue University-Fort Wayne,Indiana,43,14,Not Division 1 Football,Public,14092,77500
University of Mary Hardin-Baylor,Texas,52,27,Not Division 1 Football,Private not-for-profit,3428,77500
University of Southern Mississippi,Mississippi,51,11,Conference USA,Public,13747,77400
Eastern New Mexico University-Main Campus,New Mexico,43,6,Not Division 1 Football,Public,5781,77400
Marymount California University,California,45,1,Not Division 1 Football,Private not-for-profit,1712,77300
University of Central Missouri,Missouri,44,38,Not Division 1 Football,Public,12928,77300
Southern Oregon University,Oregon,48,7,Not Division 1 Football,Public,6569,77300
University of South Carolina-Upstate,South Carolina,51,11,Not Division 1 Football,Public,6352,77300
Wheeling Jesuit University,West Virginia,43,10,Not Division 1 Football,Private not-for-profit,1168,77300
Nyack College,New York,48,2,Not Division 1 Football,Private not-for-profit,1822,77200
Cameron University,Oklahoma,48,14,Not Division 1 Football,Public,5725,77200
Western Oregon University,Oregon,47,7,Not Division 1 Football,Public,7376,77200
Texas Wesleyan University,Texas,40,4,Not Division 1 Football,Private not-for-profit,2293,77200
Rockford University,Illinois,47,11,Not Division 1 Football,Private not-for-profit,1179,77100
Trinity International University-Illinois,Illinois,38,2,Not Division 1 Football,Private not-for-profit,1095,77100
University of Pittsburgh-Greensburg,Pennsylvania,40,25,Not Division 1 Football,Public,1637,77100
St Catherine University,Minnesota,83,3,Not Division 1 Football,Private not-for-profit,3810,77e3
Dakota State University,South Dakota,36,52,Not Division 1 Football,Public,3987,77e3
University of Wisconsin-River Falls,Wisconsin,48,14,Not Division 1 Football,Public,6126,77e3
Westfield State University,Massachusetts,42,8,Not Division 1 Football,Public,6536,76900
University of Nebraska at Kearney,Nebraska,46,9,Not Division 1 Football,Public,5598,76900
Franklin University,Ohio,44,8,Not Division 1 Football,Private not-for-profit,5766,76900
The University of West Florida,Florida,45,13,Not Division 1 Football,Public,12463,76800
Pennsylvania State University-Penn State Altoona,Pennsylvania,33,28,Not Division 1 Football,Public,3938,76800
"Marian University - Indianapolis, IN",Indiana,53,6,Not Division 1 Football,Private not-for-profit,2677,76700
University of Saint Francis-Fort Wayne,Indiana,60,5,Not Division 1 Football,Private not-for-profit,2091,76700
Salem State University,Massachusetts,48,9,Not Division 1 Football,Public,9084,76700
High Point University,North Carolina,47,11,Not Division 1 Football,Private not-for-profit,4556,76700
Warner Pacific College,Oregon,45,9,Not Division 1 Football,Private not-for-profit,698,76700
Waynesburg University,Pennsylvania,49,8,Not Division 1 Football,Private not-for-profit,1500,76700
MacMurray College,Illinois,40,9,Not Division 1 Football,Private not-for-profit,603,76600
North Park University,Illinois,51,6,Not Division 1 Football,Private not-for-profit,2544,76600
College of Our Lady of the Elms,Massachusetts,61,4,Not Division 1 Football,Private not-for-profit,1478,76600
Saginaw Valley State University,Michigan,45,13,Not Division 1 Football,Public,9781,76600
Moore College of Art and Design,Pennsylvania,87,1,Not Division 1 Football,Private not-for-profit,416,76600
Texas Woman's University,Texas,74,5,Not Division 1 Football,Public,11785,76600
Dillard University,Louisiana,60,17,Not Division 1 Football,Private not-for-profit,1271,76500
McPherson College,Kansas,26,11,Not Division 1 Football,Private not-for-profit,659,76400
East Central University,Oklahoma,45,10,Not Division 1 Football,Public,4367,76400
Southern Connecticut State University,Connecticut,49,7,Not Division 1 Football,Public,9286,76300
Hood College,Maryland,51,34,Not Division 1 Football,Private not-for-profit,1324,76300
Belmont Abbey College,North Carolina,42,5,Not Division 1 Football,Private not-for-profit,1676,76300
Lenoir-Rhyne University,North Carolina,46,9,Not Division 1 Football,Private not-for-profit,1706,76300
University of North Carolina School of the Arts,North Carolina,38,1,Not Division 1 Football,Public,873,76300
University of North Carolina Wilmington,North Carolina,50,18,Not Division 1 Football,Public,14730,76300
The University of Texas at Tyler,Texas,45,14,Not Division 1 Football,Public,7349,76300
Viterbo University,Wisconsin,63,3,Not Division 1 Football,Private not-for-profit,2170,76300
University of Central Oklahoma,Oklahoma,46,8,Not Division 1 Football,Public,17659,76200
Southeastern Oklahoma State University,Oklahoma,43,19,Not Division 1 Football,Public,3926,76200
"Aquinas College - Nashville, TN",Tennessee,70,1,Not Division 1 Football,Private not-for-profit,379,76200
Universidad del Sagrado Corazon,Puerto Rico,49,7,Not Division 1 Football,Private not-for-profit,4697,76200
Morningside College,Iowa,42,9,Not Division 1 Football,Private not-for-profit,1380,76100
Ottawa University-Kansas City,Kansas,56,3,Not Division 1 Football,Private not-for-profit,572,76100
Anna Maria College,Massachusetts,48,1,Not Division 1 Football,Private not-for-profit,1291,76100
Franciscan University of Steubenville,Ohio,48,8,Not Division 1 Football,Private not-for-profit,2249,76100
Lock Haven University,Pennsylvania,45,9,Not Division 1 Football,Public,4528,76100
